1,aH aH,阿,啊
2,aH aL,阿
3,aiH aiH,埃,唉,挨,誒,哀,哎
4,aiH aiL,艾,璦,嬡,礙,曖,噯,賹,隘,靉,譪,愛,薆,僾,鑀,濭,鴱
5,aiL aiH,欸,皚,靄,敳,藹,捱,騃,矮
6,aiL aiL,佁,昹,欸,靄,藹,矮
7,aM aM,阿,啊
8,angH angH,腌,骯
9,angH angL,醠,盎
10,angL angH,昂,卬
11,angL angL,軮
12,anH anH,胺,銨,垵,盦,腤,諳,安,庵,痷,萻,侒,峖,氨,韽,媕,鵪,鞍
13,anH anL,匼,犴,儑,暗,錌,洝,岸,菴,桉,荌,婩,闇,匎,豻,案,按,黯
14,anL anH,玵,雸,啽
15,anL anL,堷,晻,俺,唵
16,auH auH,坳,凹,柪
96,chi angH angH,矼,錆,謒,鏘,瑲,嶈,鎗,蜣,鏹,椌,槍,蹡,腔,羌,斨,搶,牄
97,chi angH angL,唴,熗,蹌,羻,嗆
98,chi angL angH,爿,嬙,墻,戕,蘠,襁,強,廧,檣,薔,漒,牆,搶
99,chi angL angL,墏,繈,磢,襁,強,傸,搶
100,chi anH anH,愆,譣,羥,簽,鉛,奷,掔,騫,鐱,縴,遷,籤,褰,芊,櫏,忏,顩,檶,韆,粁,扦,阡,僉,岍,謙,汧,嵌,顅,攐,婜,搴,牽,慳,千,攓,仟
101,chi anH anL,棈,縴,慊,芡,歉,茜,蒨,槧,倩,輤,嗛,欠,傔,篟,綪,塹
102,chi anL anH,前,騚,虔,箝,拑,潛,媊,忴,蚙,榩,鈐,鰬,乾,墘,灊,扲,姏,鳹,遣,黔,鉗,漧,掮,鬵,錢,岒,軡,揵,黚,繾,淺,葥,燂
103,chi anL anL,遣,潛,撖,蜸,淺,槏,繾,譴
104,chi auH auH,墝,郻,髜,塙,蹻,蹺,骹,繑,磽,敲,鏒,撬,橇,鄡,頝,庨,墽,幧,鍬,鐰
105,chi auH auL,蹺,帩,竅,俏,峭,撽,誚,鞘,翹,躈
106,chi auL auH,燆,蕎,趫,趬,敿,僑,譙,樵,嫶,憔,橋,劁,嘺,翹,喬,簥,礄,悄,巧,瞧
107,chi auL auL,悄,巧,愀,鵲
108,chi ehH ehH,切
109,chi ehH ehL,踥,愜,蛪,竊,朅,篋,洯,藒,挈,鍥,切,怯,妾,鯜
110,chi ehL ehH,癿,茄,伽
111,chi ehL ehL,且
112,chi enH enH,駸,侵,鋟,瀙,欽,綅,親,嶔,衾
113,chi enH enL,沁,撳,唚,菣
114,chi enL enH,擒,斳,噙,耹,秦,檎,雂,靲,澿,鈙,嫀,芩,琴,螓,芹,懃,肣,勤,庈,禽
115,chi enL enL,顉,曋,昑,坅,寢,寑,螼
116,chi ngH ngH,圊,清,青,頃,蜻,傾,鯖,狅,卿,氰,郬,輕,氫
117,chi ngH ngL,靘,掅,罄,慶,謦,汫,罊,鑋,磬,漀,碃
118,chi ngL ngH,殑,黥,檠,勍,樈,傾,請,情,擎,晴
119,chi ngL ngL,請,廎,頃
120,chi ouH ouH,恘,蝵,鰍,緧,丘,邱,蚯,偢,坵,楸,趥,蟗,秋,蠤,鶖,媝,萩,鞦
121,chi ouL ouH,逑,鼽,殏,蝤,崷,球,酋,紌,俅,朹,仇,囚,鮂,僋,虯,梂,求,賕,厹,煪,鰽,絿,裘,鯄,脙,犰,訄,盚,璆,觩,銶,釚,莍,蛷,泅,苬,毬,遒
122,chi ouL ouL,糗
123,chiu anH anH,棬,悛,絟,弮,圈
124,chiu anH anL,牶,烇,勸,券,絭
125,chiu anL anH,跧,痊,畎,縓,犬,恮,顴,全,惓,駩,佺,蠸,醛,拳,詮,姾,泉,牷,瑔,巏,蜷,齤,鬈,銓,觠,荃,灥,輇,筌,踡,犈,婘,權
126,chiu anL anL,畎,甽,綣,汱,虇,琄,犬
127,chiu ehH ehH,闕,炔,缺,蒛
128,chiu ehH ehL,卻,皵,硞,愨,怯,搉,碏,榷,礐,確,碻,毃,鵲,雀,确,闕,埆,礭,闋
129,chiu ehL ehH,瘸
130,chiu enH enH,踆,逡,峮
131,chiu enL enH,裙,群,宭
132,chiu ngH ngH,芎,銎,穹
133,chiu ngL ngH,窮,藭,芎,筇,藑,瓊,璚,蛩,跫,橩,惸,笻,煢,邛,赹,瞏,蒆,桏,穹,輁
134,chiu ngL ngL,顈
135,chr aH aH,鎈,嗏,臿,疀,艖,喳,叉,差,偛,杈,扠,插
136,chr aH aL,剎,衩,侘,岔,詫,汊,奼,紁
137,chr aiH aiH,釵,拆,差,偨
138,chr aiH aiL,蠆,袃,囆
139,chr aiL aiH,喍,祡,柴,豺,儕
140,chr aL aH,碴,察,槎,叉,秅,垞,查,茶,鍤,搽
141,chr aL aL,蹅
142,chr angH angH,錩,倀,猖,鼚,裮,娼,淐,鯧,倡,琩,菖,閶,昌
143,chr angH angL,悵,倡,暢,唱,鬯,韔
144,chr angL angH,廠,償,嘗,腸,鱨,常,萇,嫦,場,鋿,粻,徜,嚐,長
145,chr angL angL,廠,氅,昶,場,鋹,敞
146,chr anH anH,嬓,辿,襜,攙,惉,梴,幨,欃,摻,鋓
147,chr anH anL,儳,懺,嚵,羼
148,chr anL anH,獑,單,鋋,毚,棎,蟬,饞,產,巉,僝,廛,繵,酁,纏,嬋,讒,煘,艬,磛,蟾,孱,劖,瀍,鑱,躔,瀺,潺,澶,湹,禪
149,chr anL anL,燀,丳,囅,蕆,譂,驏,產,幝,灛,旵,嵼,剷,闡,滻,繟,簅,鏟,諂,嘽
150,chr auH auH,訬,抄,超,罺,弨,鈔,怊
151,chr auH auL,耖
152,chr auL auH,朝,吵,巢,嘲,樔,潮,鄛,轈
153,chr auL auL,炒,吵,眧
154,chr eH eH,莗,硨,車
155,chr eH eL,徹,坼,掣,撤,硩,屮,澈,迠,轍
156,chr eL eH,扯
157,chr eL eL,扯,奲,撦
158,chr enH enH,搷,賝,謓,郴,諃,棽,堔,瞋,嗔,琛,捵
159,chr enH enL,趁,讖,疢,稱,櫬,嚫,齔,襯,藽,儭
160,chr enL enH,沈,伔,諶,辰,宸,忱,莐,鷐,煁,螴,陳,塵,麎,愖,娠,樄,沉,臣,鈂,蔯,茞,晨
161,chr enL enL,裖,磣,贂,踸,鍖,墋
162,chr ngH ngH,崝,浾,檉,鏿,琤,稱,竀,埥,偁,饓,赬,蟶,橕,棦,瞠,撐,牚
163,chr ngH ngL,秤,稱
164,chr ngL ngH,乘,盛,鋮,誠,荿,郕,脀,埕,成,呈,橙,珵,承,澂,晟,逞,揨,掁,程,騬,峸,城,棖,丞,脭,懲,宬,澄,塍,酲,裎,湞
165,chr ngL ngL,騁,塣,庱,逞,悜
166,chr ouH ouH,瘳,搊,篘,犨,抽
167,chr ouH ouL,臭,憱,簉
168,chr ouL ouH,綢,裯,儔,躊,絒,鯈,丑,燽,懤,薵,紬,詶,仇,讎,雔,栦,酬,嬦,醜,稠,愁,惆,籌,椆,疇,菗
169,chr ouL ouL,杻,丑,瞅,杽,醜,吜
170,chr wuH wuH,出,貙,初,齣
171,chr wuH wuL,矗,畜,斶,儊,琡,鄐,踀,怵,敊,滀,處,臅,觸,亍,泏,黜,歜,搐,絀,詘,豖,俶
172,chr wuL wuH,躇,趎,鉏,犓,躕,除,跦,儲,雛,芻,處,櫥,鋤,廚,耡,鶵,滁,幮,楚,蜍,篨,蒢
173,chr wuL wuL,楚,楮,濋,褚,杵,儲,礎,檚,處
174,chrH chrH,离,螭,齹,笞,吃,癡,嗤,瞝,媸,魑,絺,誺,蚩,摛,郗,貾,眵,喫,瓻,齝,鴟,痴
175,chrH chrL,跮,饎,傺,哧,遫,熾,摰,眙,飭,乿,翅,彳,痸,啻,淔,敕,栻,叱,鉓,戠,懘,抶,瘛,赤,斥,鷘
176,chrL chrH,蚳,汦,茌,歭,趍,踟,忯,持,篪,箈,匙,箎,徥,墀,荎,耛,馳,尺,侈,池,恥,遲,弛,齒,茬,徲,謘
177,chrL chrL,齒,鉹,伬,姼,傂,鶒,呎,尺,欼,拸,蚇,褫,侈,誃,恀,恥,豉
178,chu aH aH,欻
179,chu aiH aiH,搋
180,chu aiH aiL,踹,嘬
181,chu aiL aiH,膗
182,chu aiL aiL,揣
183,chu angH angH,憃,創,瘡,窗,摐,戧
184,chu angH angL,創,獊,刱,愴
185,chu angL angH,幢,床
186,chu angL angL,闖,漺
187,chu anH anH,氚,鐉,穿,瑏,川
188,chu anH anL,賗,玔,夼,汌,釧,串
189,chu anL anH,椽,歂,諯,輲,傳,暷,船,遄
190,chu anL anL,荈,喘,舛
191,chu eiH eiH,吹,炊
192,chu eiH eiL,諈
193,chu eiL eiH,棰,錘,鎚,倕,甀,槌,綞,菙,圌,娷,搥,捶,垂,陲,湷,箠
194,chu enH enH,杶,暙,椿,鰆,媋,輴,鶞,春,焞
195,chu enL enH,脣,漘,淳,鯙,韕,唇,鶉,錞,蓴,蠢,醇,憌,純
196,chu enL enL,偆,踳,萶,蠢,惷
197,chu ngH ngH,浺,充,祌,忡,舂,蹖,茺,憧,珫,衝,沖
198,chu ngH ngL,銃,揰
199,chu ngL ngH,蝩,隀,种,蟲,茧,崇,痋,重,翀,虫
200,chu ngL ngL,寵
201,chu oH oH,戳
202,chu oH oL,醊,綽,逴,婥,畷,嚽,啜,珿,輟,娖,婼,趠,歠,齪,惙,磭,吷,擉
203,d aH aH,搭,耷,撘,褡,答,咑,瘩
204,d aH aL,大
205,d aiH aiH,獃,呆,待
206,d aiH aiL,岱,貸,黛,忕,襶,大,蹛,柋,戴,待,瀻,帶,紿,怠,酨,埭,殆,代,迨,跢,廗,玳,汏,軩,艜,靆,袋
207,d aiL aiH,逮
208,d aiL aiL,逮,歹
209,d aL aH,荅,匒,噠,鎝,笪,怛,達,呾,畣,薘,靼,韃,炟,繨,妲,鐽,答,打
210,d aL aL,打
211,d aM aM,瘩
212,d angH angH,噹,鐺,嵣,當,襠,蟷,簹,儅,璫,澢,艡
213,d angH angL,璗,逿,當,菪,瓽,礑,闣,擋,簜,蕩,愓,盪,碭,宕
214,d angL angH,擋,黨
215,d angL angL,黨,党,攩,檔,擋,讜,欓
216,d anH anH,儋,殫,擔,耽,鄲,砃,酖,匰,甔,眈,單,聃,嚪,聸,簞,丹,襌,勯
217,d anH anL,啿,暺,柦,狚,餤,鉭,淡,擔,髧,誕,石,帎,窞,啗,觛,但,僤,蛋,癚,啖,彈,蜑,潬,澹,氮,噉,沊,萏,泹,癉,灗,鴠,霮,憚,憺,旦,嘾,舕
218,d anL anH,膽
219,d anL anL,玬,紞,澸,衴,撢,亶,黵,撣,膽,刐,疸
220,d auH auH,幍,氘,叨,刀,舠,魛,忉
221,d auH auL,翿,到,倒,道,稻,悼,盜,檤,幬,蹈,菿,瓙
222,d auL auH,島,倒,搗,導
223,d auL auL,禱,擣,倒,捯,導,島,壔,禂,蹈,搗
224,d eiL eiL,得
225,d eL eH,得,淂,德
226,d eM eM,得,地,的
227,d ngH ngH,登,燈,簦,豋,鐙,璒,嬁
228,d ngH ngL,邆,凳,瞪,嶝,墱,蹬,霯,磴,鄧,鐙
229,d ngL ngH,等
230,d ngL ngL,等,戥
231,d ouH ouH,兜,郖,都
232,d ouH ouL,荳,餖,痘,脰,浢,豆,梪,讀,逗,鋀,竇,鬥
233,d ouL ouH,抖,斗
234,d ouL ouL,抖,敨,陡,唗,枓,斗,蚪
235,d wuH wuH,督,都,醏,嘟,闍
236,d wuH wuL,鍍,渡,喥,度,蠹,秺,妒,肚,杜
237,d wuL wuH,韇,碡,贕,瀆,殰,皾,堵,黷,讀,韥,纛,牘,蝳,髑,櫝,讟,賭,篤,獨,儥,毒,犢
238,d wuL wuL,賭,錖,篤,裻,睹,堵,帾
239,d yiH yiH,袛,墑,羝,鍉,熵,彽,滴,磾,鞮,菂,低,氐
240,d yiH yiL,渧,梊,地,軑,踶,虳,締,蔕,娣,甋,禘,蒂,睇,遞,玓,樀,棣,的,釱,碲,楴,弟,杕,焍,螮,帝,第,墆,珶,旳,嵽,諦,馰
241,d yiL yiH,蹢,篴,滌,苖,迪,笛,荻,潪,蔋,梑,抵,靮,嫡,的,藋,嚁,敵,藡,覿,底,狄,鏑,嘀,翟,糴,詆,鸐
242,d yiL yiL,邸,聜,砥,扺,呧,柢,抵,弤,阺,觝,坻,詆,菧,軧,底,牴
243,di anH anH,滇,顛,槙,傎,掂,瘨,敁,齻,蹎,厧,巔,癲
244,di anH anL,痁,踮,殿,玷,淀,阽,壂,簟,甸,癜,墊,扂,佃,店,惦,磹,坫,婝,澱,靛,鈿,電,奠
245,di anL anH,點,碘,典
246,di anL anL,點,碘,典,婰,蕇,錪,琠
247,di auH auH,鯛,瞗,殦,叼,扚,雕,凋,鳭,琱,貂,彫,碉,虭,刁,鵰,蛁
248,di auH auL,調,弔,魡,吊,誂,蓧,伄,掉,釣,窵
249,di auL auL,屌
250,di ehH ehH,嗲,爹
251,di ehL ehH,跕,褋,迭,碟,喋,耋,峌,牒,蝶,艓,挕,詄,惵,胅,蜨,聑,蹀,楪,疊,鰈,跌,咥,眣,絰,堞,臷,瓞,垤,諜,镻,嶀,苵,昳
252,di ngH ngH,盯,疔,仃,帄,釘,酊,虰,丁,町,玎,叮,靪
253,di ngH ngL,顁,定,飣,釘,萣,啶,錠,椗,娗,掟,碇,碠,訂
254,di ngL ngH,鼎,頂
255,di ngL ngL,嵿,酊,鼎,薡,濎,頂
256,di ouH ouH,銩,丟
257,du anH anH,端,偳,媏,剬
258,du anH anL,斷,椴,躖,鍛,段,籪,碫,毈,緞,腶,葮
259,du anL anH,短
260,du anL anL,短
261,du eiH eiH,痽,頧,堆
262,du eiH eiL,瀩,濧,憝,兌,隊,轛,譈,懟,對,薱,碓
263,du enH enH,蹲,墩,礅,敦,驐,撉,惇,蜳,鐓
264,du enH enL,沌,伅,腞,燉,鶨,囤,遁,庉,遯,坉,炖,潡,鈍,扽,噸,崸,頓,飩,盾
265,du enL enL,躉,盹
266,du ngH ngH,蝀,鼕,埬,氡,咚,冬,炵,苳,崠,鶇,菄,涷,東
267,du ngH ngL,凍,霘,胴,棟,恫,洞,挏,戙,駧,動
268,du ngL ngL,懂,董,嬞,墥
269,du oH oH,朵,哆,茤,多
270,du oH oL,跺,柁,貀,墯,袉,嶞,舵,陏,度,陊,墮,踱,咄,馱,柮,鵽,惰,剁
271,du oL oH,剫,腏,椯,剟,敪,多,躲,裰,莌,奪,襗,鮵,敓,鐸,掇,毲
272,du oL oL,嚲,垛,朵,痑,埵,躲,鬌,趓
273,eH eH,屙,婀,錒,峉,痾,阿
274,eH eL,砨,愕,扼,惡,軛,砐,萼,搹,鍔,頞,櫮,呃,豟,俄,阨,鑩,餩,圔,諤,軶,餓,鱷,堨,枙,詻,嶭,閼,咢,鶚,鄂,蝁,遏,顎,噩,崿,厄,搤,堊,蘁,堮,蚅,岋,齶
275,eL eH,訛,額,哦,涐,硪,俄,莪,睋,鋨,迗,囮,魤,娥,峨,蚵,皒,珴,鵝,吪,蛾
276,eL eL,噁
277,enH enH,嗯,恩
278,enH enL,摁
279,erH erH,兒
280,erH erL,樲,二,佴,眲,刵,貳,咡,毦,衈
281,erL erH,檽,唲,耏,爾,荋,陑,聏,侕,鮞,胹,輀,洏,耳,栭,而,兒,鴯
282,erL erL,峏,尒,鉺,栮,爾,駬,餌,薾,洱,耳,珥,邇
283,f aH aH,瞂,伐,發
284,f aH aL,法,琺
285,f aL aH,伐,疺,髮,閥,藅,法,罰,乏,砝,茷,筏
286,f aL aL,髮,法
287,f angH angH,鈁,坊,芳,邡,匚,枋,汸,方,淓
288,f angH angL,放
289,f angL angH,坊,倣,仿,訪,肪,魴,房,舫,防,妨,紡
290,f angL angL,鶭,彷,坊,髣,瓬,昉,倣,訪,仿,舫,紡
291,f anH anH,幡,嬏,繙,番,翻,僠,蕃,轓,旛,籓,鱕
292,f anH anL,飯,鄤,犯,泛,汎,奿,笵,滼,嬔,販,軬,畈,氾,軓,範,范,梵
293,f anL anH,鐇,瀿,勫,蹯,橎,繁,颿,凡,反,瀪,樊,蕃,籵,羳,燔,礬,鷭,返,杋,膰,帆,蘩,煩,釩,笲,薠,墦,蠜,藩,璠
294,f anL anL,反,魬,返
295,f eiH eiH,蜚,霏,鯡,馡,騛,妃,飛,騑,婓,啡,緋,扉,非,裶,菲
296,f eiH eiL,俷,痱,櫠,蟦,胇,吠,廢,濷,費,癈,鼣,曊,肺,砩,鐨,厞,疿,屝,狒,沸,剕
297,f eiL eiH,匪,腓,斐,淝,萉,蜰,肥
298,f eiL eiL,蜚,朏,篚,匪,斐,誹,棐,餥,榧,翡,奜,悱,菲
299,f enH enH,昐,衯,芬,氛,雰,吩,紛,酚,鳻,砏,分,棻,饙,玢,梤,翂,鈖
300,f enH enL,糞,憤,秎,橨,膹,忿,瀵,坋,僨,羵,魵,奮,份,分
301,f enL enH,粉,黂,豶,墳,鐼,焚,幩,羒,棼,鼢,轒,枌,濆,蕡,鼖,妢,蚡,蒶,弅,汾,炃
302,f enL enL,黺,粉
303,f ngH ngH,烽,鋒,偑,蘴,猦,蜂,葑,妦,封,麷,崶,桻,捀,酆,楓,風,飌,犎,丰,灃,峰,豐,瘋,檒
304,f ngH ngL,奉,諷,俸,鳳,風,焨,賵,縫
305,f ngL ngH,夆,渢,堸,艂,逢,摓,馮,縫
306,f ngL ngL,唪,覂
307,f oL oH,坲,佛
308,f ouL ouH,紑,剻,罘,芣
309,f ouL ouL,否,殕,鴀,缶,缹
310,f wuH wuH,怤,伕,罦,綒,泭,膚,尃,糐,璷,趺,鈇,鳺,稃,邞,孵,荴,柎,枹,跗,砆,麩,紨,夫,姇,衭,箙,鄜,敷
311,f wuH wuL,緮,腹,富,阜,蛗,訃,婦,萯,鰒,附,胕,蝜,副,輹,鍑,祔,榑,賦,覆,蕧,复,偩,付,負,賻,蝮,復,父,赴,駙,咐,鮒,峊,蚹,傅,馥,複
312,f wuL wuH,岪,服,拊,輻,垘,沷,祓,福,茯,郛,伏,怫,孚,袱,輔,府,巿,氟,紱,蝠,鵩,澓,洑,苻,烰,紼,鳧,弗,蜉,匐,茀,芙,黻,艀,琈,葍,簠,俯,昲,柫,鶝,縛,韍,俘,撫,鴔,菔,芾,父,枎,蚨,綍,幅,帗,浮,諨,虙,拂,沸,腐,刜,玸,釜,彿,棴,踾,笰,符,艴,扶,桴,咈,涪
313,f wuL wuL,腑,拊,斧,府,輔,冹,弣,郙,俯,頫,滏,黼,軵,撫,蜅,鯆,父,甫,暊,腐,釜,嘸,蚥
314,g aH aH,旮,嘎
315,g aH aL,尬
316,g aiH aiH,陔,絯,峐,垓,胲,隑,賅,侅,荄,賌,豥,該,祴
