11,angL angL,0
14,anL anH,0
1019,shr eH eH,2,奢:2
1044,shrM shrM,2,匙:2
1050,shu aL aH,2,耍:2
1051,shu aL aL,2,耍:2
1056,shu anH anH,2,拴:2,閂:0
1065,su anH anH,2,酸:2
1092,sz angL angL,2,嗓:2
1104,sz ouH ouH,2,蒐:0,搜:2,餿:0
1105,sz ouH ouL,2,嗽:2
1209,tsz wuL wuH,2,殂:2
1214,tu anH anH,2,湍:2
1222,tu enH enL,2,褪:2
1232,tu oL oL,2,妥:2
1289,wu aH aL,2,襪:2
1294,wu angH angH,2,汪:2,尪:0
16,auH auH,3,凹:3
78,bi enH enH,3,檳:0,賓:3,彬:0
97,chi angH angL,3,嗆:3
124,chiu anH anL,3,勸:2,券:1
155,chr eH eL,3,徹:3,掣:0,撤:0,澈:0
180,chu aiH aiL,3,踹:3
182,chu aiL aiL,3,揣:3
196,chu enL enL,3,蠢:3
200,chu ngL ngL,3,寵:3
208,d aiL aiL,3,逮:0,歹:3
302,f enL enL,3,粉:3
314,g aH aH,3,旮:1,嘎:2
320,g aL aH,3,噶:1,軋:2
345,g ngL ngH,3,哽:1,耿:1,梗:1
346,g ngL ngL,3,耿:1,哽:1,梗:1
347,g ouH ouH,3,溝:3,勾:0
511,jr aiL aiL,3,窄:3
577,k aiH aiL,3,慨:3
578,k aiL aiH,3,慨:3,楷:0
600,k ngH ngH,3,鏗:0,坑:3
614,ku aL aL,3,垮:3
638,l aiH aiL,3,籟:0,賴:1,癩:2
641,l aL aL,3,喇:3
646,l angL angL,3,朗:3
664,l ouH ouH,3,摟:3
667,l ouL ouL,3,摟:3
671,l wuL wuL,3,擄:0,魯:3
754,m oL oL,3,抹:3
761,m yiH yiH,3,咪:2,瞇:1
790,n angL angH,3,囊:3
812,n yiH yiL,3,匿:0,泥:3
819,ni angH angL,3,釀:3
828,ni ehH ehL,3,孽:3
833,ni ngL ngH,3,寧:0,嚀:1,擰:0,凝:2
836,ni ouH ouL,3,拗:3
839,niu ehH ehL,3,虐:3
877,p enL enH,3,盆:3
941,ru eiL eiL,3,蕊:3
984,shi ouL ouL,3,朽:3,宿:0
1001,shr aiH aiH,3,篩:3
1005,shr aL aL,3,傻:3
1057,shu anH anL,3,涮:3
1109,sz wuL wuH,3,俗:3
1173,tsu enH enL,3,寸:3
1206,tsz ouH ouL,3,輳:0,湊:3
1223,tu enL enH,3,臀:0,豚:2,屯:1,飩:0
1230,tu oH oL,3,拓:3
1233,tz aH aH,3,紮:3
1242,tz anH anH,3,簪:3
1257,tz ngH ngL,3,贈:3
1259,tz ouH ouL,3,揍:0,驟:0,奏:3
1262,tz wuH wuH,3,租:3
1277,tzu enH enH,3,尊:2,遵:1
1290,wu aiH aiH,3,歪:3
1293,wu aL aL,3,瓦:3
1359,yu anH anH,3,鴛:0,淵:2,冤:1
19,auL auL,4,拗:3,襖:1
31,b angL angH,4,榜:1,綁:3
50,b ngH ngL,4,蹦:4,迸:0
68,bi anL anH,4,扁:4
69,bi anL anL,4,扁:4,匾:0
94,chi aH aL,4,恰:2,洽:2
115,chi enL enL,4,寢:4
188,chu anH anL,4,串:4
190,chu anL anL,4,喘:4
218,d anL anH,4,膽:4
219,d anL anL,4,撣:0,膽:4
228,d ngH ngL,4,凳:0,瞪:4,鄧:0
233,d ouL ouH,4,抖:1,斗:3
238,d wuL wuL,4,賭:2,睹:1,堵:1
247,di auH auH,4,雕:4,刁:0
263,du enH enH,4,蹲:3,敦:1
268,du ngL ngL,4,懂:3,董:1
493,jiu anH anL,4,卷:2,倦:1,眷:1
501,jiu enH enL,4,峻:0,俊:4,郡:0
502,jiu enL enL,4,窘:4
505,jiu ngL ngL,4,迥:0,窘:4
609,ku aH aH,4,誇:4
622,ku eiH eiH,4,虧:4
718,lu ngL ngL,4,攏:2,籠:2
850,ouH ouL,4,嘔:4
853,p aH aH,4,啪:2,趴:2
856,p aiH aiL,4,派:4
864,p anH anH,4,潘:1,攀:3
895,p yiH yiL,4,闢:0,僻:0,屁:4,癖:0
939,ru eiH eiL,4,銳:1,瑞:3
943,ru enH enL,4,潤:4
955,shi aH aH,4,瞎:2,蝦:2
985,shiu anH anH,4,軒:1,暄:1,宣:2
1097,sz auH auH,4,騷:4,臊:0,艘:0
1098,sz auH auL,4,臊:0,掃:4
1100,sz auL auL,4,嫂:0,掃:4
1103,sz ngH ngH,4,僧:4
1107,sz wuH wuH,4,甦:0,蘇:2,酥:2
1120,t aL aH,4,塔:4
1121,t aL aL,4,塔:4
1123,t angH angL,4,燙:3,趟:1
1129,t anL anL,4,毯:1,坦:3
1130,t auH auH,4,搯:0,掏:1,濤:3,饕:0
1157,ti ehH ehH,4,貼:4,帖:0
1166,tsu anH anL,4,篡:0,竄:4
1185,tsz aiH aiH,4,猜:4
1239,tz angH angH,4,髒:4
1251,tz eiL eiH,4,賊:4
1365,yu enH enH,4,暈:4
9,angH angL,5,盎:5
10,angL angH,5,昂:5
45,b enH enH,5,奔:5
49,b ngH ngH,5,繃:0,崩:5
177,chrL chrL,5,齒:1,尺:2,侈:2,恥:0
234,d ouL ouL,5,抖:1,陡:1,斗:3
307,f oL oH,5,佛:5
382,gu oH oH,5,鍋:2,郭:3
407,h enH enL,5,恨:5
417,h ouL ouL,5,吼:5
442,hu enL enL,5,混:5
446,hu ngL ngL,5,哄:5
